Photo URL,Aesthetic Type,Descriptions and hashtag
https://64.media.tumblr.com/509fbf8bc7a57c09f9d9432f9e8157b4/1eea5371eb7c7847-6d/s1280x1920/b62f1047e8bc58eb2e18f8dd2d9742e792a4982e.jpg,cottagecore,#cottagecore #light academia #romantic academia #aesthetic #studyblr #library #fairycore #grandmacore #books #bookblr #antique
https://64.media.tumblr.com/3898c9763352700539b5899af274efa8/a33cfe83d981a4bc-18/s640x960/63ced31907a52464a46122400000176b0f6ea7c2.jpg,cottagecore,#nature #art #illustration #design #fashion #beauty #scenery #cute #photographers on tumblr #naturecore #plants #flowers #cottagecore #inspiration #motivation #alternative #aesthetic #travel #photography #landscape #paradise #adventure #exlore #traveling #indie #style #vintage #retro #pretty #dark academic aesthetic
https://64.media.tumblr.com/2bfba728993ba423c089fa8685e798af/083d4c48ffb504c8-9c/s1280x1920/3df8e95e707db45641fb2d73ac8dc24d32f03b88.jpg,cottagecore,#autumn colors #Autumn forest #autumn aesthetic #autumn leaves #fall leaves #fall aesthetic #fall #fall colors #cottage aesthetic #cottagecore #cottagecore aesthetic #nature vibes #nature aesthetic #nature #pumpkins #pie #vintage style #cozy #comfy #warm and cozy #cozy places
https://64.media.tumblr.com/b2355fe4ebcc1ac8de2670dae831c276/ee652e357e4fb44e-ab/s1280x1920/6171d0c0aaa618720545e0c54eb3ec8218b5e2c1.jpg,cottagecore,#flowercore #green witch #witchblr #artblr #cottagecore #dark academia #chaotic academia #romantic academia #aesthetic #butterfly
https://64.media.tumblr.com/0a828e4d57a651898d6ac7211c01672a/dcd0db3cb5743d39-6f/s1280x1920/28a9dba21994b10476b77d08b31c30688f43bce5.jpg,cottagecore,#soft cottagecore vibes <3 #cottagecore #flowers #flowercore #soft aesthetic #kitchen #kitchencore #interior inspo #bathroom #bathtub #plants #cozycore #cosycore #cottage aesthetic#food#foodcore#grandmacore#farmcore
https://64.media.tumblr.com/fd4b61bea2d222001ce95e2c7fe9b7cc/6c8d822cf8698a07-2c/s1280x1920/00e8e1a954396d6d39e4228823a93f89c1ede967.jpg,cottagecore,#some sage green aesthetic for ya <3 #and cute lil kitties!! #cottagecore #nature #naturecore #flowers #flowercore #sage green aesthetic #green aesthetic #cats #animals #frogs #illustrations #cottage aesthetic#grandmacore#kawaii#cute#pastel aesthetic#cozycore#cosycore
https://64.media.tumblr.com/4d9b55d424e8e2858d986e0b0a230962/b8d92f73351519e9-c5/s1280x1920/bcc6bd359ba5d26a18fee2f841ca28acb961f85b.jpg,cottagecore,#cottagecore #nature #naturecore #dark cottagecore #snow aesthetic #dark academia aesthetic #rain aesthetic #dark aesthetic #snow #countryside
https://64.media.tumblr.com/53be54ca7c2f39edd0affe9f81c0c2d1/5bf51124f5fb5259-bd/s1280x1920/b7b2e21145c3c344874f34b06f49574db004df23.jpg,cottagecore,#nature #art #illustration #design #fashion #beauty #scenery #cute #photographers on tumblr #cottagecore #naturecore #plants #flowers #inspiration #motivation #alternative #aesthetic #travel #photography #landscape #paradise #adventure #exlore #traveling #indie #style #vintage #retro #pretty #dark academic aesthetic
https://64.media.tumblr.com/0d6afdc1f2d41526bf30b84d38e4813e/1c2df98e6f0fe4c4-d7/s1280x1920/b7905da3620de48eddbf5ecc494f64f2c5b4e3e0.jpg,cottagecore,#mushroom #mushrooms #fungi #embroidery #art #nature #cottagecore #naturecore #cottage #animals #flower #flowers #plantcore #plants #garden #mushroomcore
https://64.media.tumblr.com/add6a7e66ff9d31ec8219ce5b2884480/bbbc0645fd184415-b2/s250x400/4c75ae831163c8e005f74de5aa69227e05035656.jpg,cottagecore,#cottagecore #fairycore #grandmacore #naturecore #gardencore #goblincore #moodboard #cosycore #books #bookstore #bookshelf #bookshop #bookish #booklover #catblr #cats #cats of tumblr #cute cats
https://64.media.tumblr.com/010e68c425c653888ded9b82dace5e6d/110fa8eed8deb8eb-65/s400x600/8130c95999cc857d43f568d2dee2f31970f90fed.jpg,cottagecore,#cottagecore #hobbiton #oh how I wanna go!! #nature #naturecore #flowers #flowercore #warmcore #hobbit hole #hobbit house #photography
https://64.media.tumblr.com/61b7233a5ca18637653456eebefd8f15/450c93ede2312bde-5f/s400x600/82820c1cf2e8eae07417b3bd9d7b84e2d4561e40.jpg,cottagecore,#rosy maple moth #moths #butterflies #insects #animals #aesthetic #nature #naturecore #cottagecore #fairycore #curators on tumblr #up
https://64.media.tumblr.com/f27e54e61cb35825dabd392df5493459/6e4f95660bb444c1-d0/s400x600/95e15e855d6869c809916d7ff31163943603b949.jpg,cottagecore,#nature #art #illustration #design #fasion #beauty #scenery #cute #photographers on tumblr #cottagecore #naturecore #plants #flowers #inspiration #motivation #alternative#aesthetic #travel #photography #landscape #paradise #adventure #exlore #traveling #indie #style #vintage #retro #pretty #dark academic aesthetic
https://64.media.tumblr.com/182332566c8d7453bd471014009b7856/7ff97787d14f8f7d-12/s250x400/845f13ea26814a987d4880939f606832e41a221b.jpg,cottagecore,#cottagecore #nature #naturecore #flowers #flowercore #warmcore #witch aesthetic #witchlr #moon #crescent moon #witchcraft #witch academia #dark purple aesthetic #warm aesthetic#cozycore#cosycore#cottage aesthetic
https://64.media.tumblr.com/52a1fb28910f87723b4a29e71eccf75e/2bedb495c8c49893-44/s250x400/f3dc4b456f94c2069222778efffab898ae1d7538.jpg,cottagecore,#cottagecore #nature #naturecore #flowers #flowercore #warmcore #tumblr decided to post for me again wohoo #but damn does it look nice !
https://64.media.tumblr.com/21d541d9ec268804623dcde37818d016/2bedb495c8c49893-b0/s250x400/2742fc199fd9b5f2cc51976b60a9e9410f0c52e3.jpg,cottagecore,#cottagecore #nature #naturecore #flowers #flowercore #warmcore #tumblr decided to post for me again wohoo #but damn does it look nice !
https://64.media.tumblr.com/9dbc89eb4c1a89101fd7bd23eb2fe061/67d42bdcff377d29-89/s400x600/08b82f9ae6280a791b85c36b7513184f6f5780b6.pnj,cottagecore,#watercolor #painting #mushrooms #cottagecore #drawing #artists on tumblr #fairytale #Illustration
https://64.media.tumblr.com/720620e6afe6906c3480447dbb6c3a90/6661c84b03c4a763-36/s400x600/55a89005f376578cbb52c9c359625dc1776ef2dd.jpg,cottagecore,#art #kawaii #cute #kawaii art #cute art #naturecore #cottagecore #fairycore #fairycore aesthetic #fae #fawn #deer #cute animals #dreamy art #cute animal #baby animals #unicorn #butterfly wings #fantasy art#illustration#drawing#artists on tumblr
https://64.media.tumblr.com/93f470878e82e8cfad05535c6a525d81/fdd45dcbbbd0ba2a-d8/s250x400/feefe08c5f166a2cc0a4f2a0685cb0cbf45239f1.jpg,cottagecore,#tranquilfallbuddies #studyblr #cottagecore #light academia #dark academia #bookblr #books & libraries #books and reading #booksbooksbooks #jellycat #before the coffee gets cold #cozycore #studyspo
https://64.media.tumblr.com/39ba0dd226c17f1f04cc30c62be697f0/30542f8a7c6ae526-6d/s400x600/1610f376fb59919b92871ae93f69467cfdae681d.jpg,cottagecore,#gotta love rain <3 #rain aesthetic #cottagecore #nature #naturecore #flowers #flowercore #forest #forestcore #cottage aesthetic
https://64.media.tumblr.com/d1e8611297edbbd7fa9cebcbcea671ea/4602a1ce081f4c2f-5f/s250x400/a1b9233973d46d6af3d79511ce2e6d7893b0cdb5.jpg,cottagecore,#cottagecore #cottage #cottage witch #cottagecore aesthetic #grandmacore #cottage aesthetic #cozy #cozycore #farmcore #farmlife #warmcore #homesteading #homestead #grandma style #farm #fall vibes#fall#autumn#fall aesthetic#traditional femininity#traditional gender roles#homemaker#femininity#tradwife#housewife#trad
https://64.media.tumblr.com/643699de520bb5430448e02203b69a32/4853f2d815224a5c-64/s400x600/1b59337542479eadbbed5fb8846bbc749a9b0713.jpg,cottagecore,#landscape #photography #full moon #moon #cottagecore #paradise #nature #aesthetic #alternative #grunge #pale #retro #architecture #art #draw #drawing #england
https://64.media.tumblr.com/77f211e471c743979d1c6c81b5ff1078/e9c27ea955f27e53-2a/s400x600/84639fad4066e032a007cd63ac7cd7fc59658cce.jpg,cottagecore,#cottagecore#dark academia#autumn#cozy#cottage#nature#forest#homesteading#animals#cute#farm#farm aesthetic#cottagestyle#cozy cottage#cottage garden#cottage life#dark academia aesthetic#aesthetic#aesthetics#books and libraries#soft#fall#halloween
https://64.media.tumblr.com/a05a89d81473a5df7163c4e6fd9f329b/c553e17aa095897c-ff/s400x600/ff47e6205f50781308f048a100d108ef0ae3cbaf.jpg,cottagecore,#art#digital art#artcore#dreamy#fantasy#cottagecore#fairycore#dreamland#pastel#pastel aesthetic#green aesthetic#greenery#aesthetic#lovecore#aiart#ai art#ai generated#curators on tumblr#up
https://64.media.tumblr.com/9bfafa26c5f00710968048c365cd7429/fdf5dea97a3448d3-62/s400x600/3393f4bda2cd50cd9b4892adbe8894ea6c6524f6.jpg,cottagecore,#nature#art#design#fashion#beauty#scenery#interiors#cute#photographers on tumblr#cottagecore#naturecore#cute animals#inspiration#motivation#alternative#travel#photography#landscape#paradise#adventure#exlore#traveling#indie#style#vintage#retro#aesthetic#dark academic aesthetic#pretty#baby animals
